id,title,programme,opening_date,deadline,funding_amount,funding_source,official_link,document_link,eligible_applicants,applicant_eligibility_status,partnership_requirements,other_requirements,summary,themes,geography,relevance_score,relevance_category,relevance_explanation,deadline_status
eu-ft-horizon-neb-2026-01-participation-03,Understanding inhabitant’s experiences of neighbourhoods to support their health and well-being,Horizon Europe,2026-05-05,2026-12-01,"€15,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-participation-03,"",Municípios ou autoridades locais,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este programa apoia projetos de investigação e intervenção focados na experiência dos habitantes nos seus bairros, com o objetivo de promover a saúde e o bem-estar comunitário através do desenvolvimento de estratégias urbanas integradas.",community_development; public_space; inclusion,"{""scope""=>""unknown"", ""areas""=>[]}",100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em necessidades de interesse público, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2027-01-participation-01,The transformative potential of co-governance in the green transition of neighbourhoods,Horizon Europe,2027-05-05,2027-12-01,"€10,760,000 total; até €5,380,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2027-01-participation-01,"",Municípios ou autoridades locais,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este financiamento apoia projetos de co-governação focados na transição ecológica de bairros, incentivando a participação ativa e modelos de gestão colaborativa ao nível local.",climate; community_development; civic_participation,"{""scope""=>""unknown"", ""areas""=>[]}",100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, tem aplicação em políticas públicas ou governação, contribui para uma transição estratégica, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-cl6-2026-01-circbio-04,"Demonstrating and deploying innovative collection, sorting-for-reuse and repair systems for textiles at city/region level (Circular Cities and Regions Initiative topic)",Horizon Europe,2026-04-17,2026-09-23,"€10,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl6-2026-01-circbio-04,"",Municípios ou autoridades locais,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este financiamento apoia a demonstração e implementação de sistemas inovadores para a recolha, triagem para reutilização e reparação de têxteis ao nível das cidades e regiões, no âmbito da Iniciativa de Cidades e Regiões Circulares.",environment; community_development,"{""scope""=>""unknown"", ""areas""=>[]}",96,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo muito próximo
eu-ft-horizon-miss-2027-05-soil-04-two-stage,Participatory research on the health of communities in contact with polluted soils,Horizon Europe,2027-02-04,2027-04-08,"€11,000,000 total; até €5,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-miss-2027-05-soil-04-two-stage,"",Entidades públicas,known,"","","Este financiamento apoia projetos de investigação participativa sobre os impactos na saúde das comunidades expostas a solos poluídos, no âmbito do programa Horizonte Europa.",community_development; environment,"{""scope""=>""unknown"", ""areas""=>[]}",89,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em necessidades de interesse público, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2027-01-participation-03,Novel combinations of knowledge and research methods to address social issues and advance a fair green transition of neighbourhoods,Horizon Europe,2027-05-05,2027-12-01,"€14,000,000 total; até €3,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2027-01-participation-03,"",Municípios ou autoridades locais; Entidades públicas,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"",Este financiamento apoia a utilização de métodos de investigação e combinações de conhecimento inovadoras para enfrentar desafios sociais e promover uma transição ecológica justa em contextos urbanos e bairros.,climate; environment; community_development,"{""scope""=>""unknown"", ""areas""=>[]}",89,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, contribui para uma transição estratégica, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-miss-2026-01-clima-02,Facilitating implementation of actionable solutions for climate adaptation of regions and local authorities,Horizon Europe,2026-02-04,2026-09-23,"€5,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-miss-2026-01-clima-02,"",Municípios ou autoridades locais,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"",Este financiamento apoia a execução de soluções práticas e exequíveis de adaptação climática dirigidas a regiões e autoridades locais. O objetivo é facilitar a implementação de estratégias que aumentem a resiliência territorial face às alterações climáticas.,climate; community_development,"{""scope""=>""unknown"", ""areas""=>[]}",88,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo muito próximo
eu-ft-horizon-cl6-2027-01-circbio-01-two-stage,Deploying circular systemic solutions through living labs in cities and regions (Circular Cities and Regions Initiative topic),Horizon Europe,2027-02-04,2027-04-08,"€10,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl6-2027-01-circbio-01-two-stage,"",Municípios ou autoridades locais; Entidades públicas,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este aviso do Horizonte Europa financia a implementação de soluções sistémicas circulares em cidades e regiões, utilizando laboratórios vivos para testar e escalar inovações. Destina-se a apoiar municípios, autoridades locais e outras entidades públicas na transição para modelos urbanos e regionais de economia circular.",environment; community_development; public_space,"{""scope""=>""unknown"", ""areas""=>[]}",88,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-participation-02,Innovative approaches for the spatial design of neighbourhoods,Horizon Europe,2026-05-05,2026-12-01,"€10,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-participation-02,"",Municípios ou autoridades locais,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este financiamento apoia a implementação de abordagens inovadoras no desenho espacial de bairros, promovendo soluções que integrem o planeamento urbano, a qualidade de vida e a sustentabilidade no contexto local.",public_space; community_development; climate,"{""scope""=>""unknown"", ""areas""=>[]}",85,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, tem impacto explícito em comunidades, cidades ou serviços locais, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-digital-2026-bestuse-10-ehds,Building capacity to deploy the EEHRxF and digital health services and systems to support the rights of citizens and reuse of health data under EHDS,Europa Digital,2026-04-21,2026-10-01,"€24,400,000 total",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/digital-2026-bestuse-10-ehds,"",Entidades públicas,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este programa financia o desenvolvimento da capacidade de implementação do formato europeu de intercâmbio de registos de saúde eletrónicos (EEHRxF), bem como a criação de serviços e sistemas de saúde digitais para reforçar os direitos dos cidadãos e permitir a reutilização de dados de saúde no contexto do Espaço Europeu de Dados de Saúde.",digital_public_services,"{""scope""=>""unknown"", ""areas""=>[]}",84,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em necessidades de interesse público, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo muito próximo
eu-ft-horizon-cl2-2026-01-transfo-08,"Strengthened implementation of the EU Pact on Migration and Asylum and a focus on inclusion, integration, and health",Horizon Europe,2026-05-12,2026-09-23,"€12,000,000 total; até €4,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl2-2026-01-transfo-08,"",Municípios ou autoridades locais,known,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este financiamento apoia a implementação do Pacto da UE sobre a Migração e o Asilo, com foco na inclusão, integração e saúde de migrantes. O programa destina-se a municípios e autoridades locais para o desenvolvimento de estratégias nestas áreas.",inclusion,"{""scope""=>""unknown"", ""areas""=>[]}",83,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em necessidades de interesse público, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo muito próximo
