id,title,programme,opening_date,deadline,funding_amount,funding_source,official_link,document_link,eligible_applicants,partnership_requirements,other_requirements,summary,themes,relevance_score,relevance_category,relevance_explanation,deadline_status
sudoe-3rd-call,3rd call,Interreg Sudoe,2026-05-04,2026-05-04,"€1,000,000",Interreg Sudoe,https://interreg-sudoe.eu/en/3rd-call/,"",Entidades públicas; Entidades privadas sem fins lucrativos,"Parceria transnacional com pelo menos um beneficiário de Portugal, Espanha e França; confirmar os requisitos no aviso oficial.",Financiamento FEDER até 75%; candidatura em parceria transnacional.,"Launch of the 3rd Interreg Sudoe call: Focus on capitalisation Following two standard calls for projects that supported 76 transnational projects, the Interreg Sudoe programme is launching its third call for proposals, fully focused on capitalisation , with the aim of enhancing the visibility of results from previous calls.",climate; community_development; digital_public_services; environment; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo ultrapassado
sudoe-4th-call,4th call,Interreg Sudoe,2026-05-04,2026-05-04,"",Interreg Sudoe,https://interreg-sudoe.eu/en/4th-call/,"",Entidades públicas; Entidades privadas sem fins lucrativos,"Parceria transnacional com pelo menos um beneficiário de Portugal, Espanha e França; confirmar os requisitos no aviso oficial.",Financiamento FEDER até 75%; candidatura em parceria transnacional.,"Taking action against wildfires and population ageing Following the increase in ERDF funding granted by the European Commission in 2023, the Interreg Sudoe programme is launching a fourth call dedicated to structuring projects. The objective is to provide ambitious transnational solutions to two major challenges in the south‑west European area.",climate; community_development; environment; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais, tem prazo próximo.",Prazo ultrapassado
eu-ft-horizon-cl6-2026-01-circbio-04,"Demonstrating and deploying innovative collection, sorting-for-reuse and repair systems for textiles at city/region level (Circular Cities and Regions Initiative topic)",Horizon Europe,2026-04-17,2026-09-17,"€10,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl6-2026-01-circbio-04,"",Municípios ou autoridades locais,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este concurso do Horizonte Europa visa a demonstração e implementação de sistemas inovadores para a recolha, triagem para reutilização e reparação de têxteis ao nível das cidades e regiões, enquadrando-se na Iniciativa das Cidades e Regiões Circulares.",climate; community_development; environment; equality; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-miss-2026-01-clima-05,Demonstrating solutions to protect and preserve cultural heritage from the impacts of climate change,Horizon Europe,2026-02-04,2026-09-23,"€21,000,000 total; até €7,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-miss-2026-01-clima-05,"",Municípios ou autoridades locais,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"",O programa Horizonte Europa abre concurso para projetos focados em demonstrar soluções eficazes para proteger e preservar o património cultural contra os impactos das alterações climáticas. A oportunidade é elegível para municípios e autoridades locais.,accessibility; climate; community_development; environment; inclusion,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-cl3-2026-01-drs-01,Designing new ways of risk awareness and enhanced disaster preparedness,Horizon Europe,2026-05-06,2026-11-05,"€6,000,000 total; até €3,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl3-2026-01-drs-01,"",Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este convite do programa Horizonte Europa, previsto para maio de 2026, financia projetos focados na conceção de novas estratégias para a sensibilização ao risco e o reforço da preparação face a desastres. Com um orçamento global de 6 milhões de euros, o programa apoia propostas até 3 milhões de euros cada, visando melhorar a resiliência e a resposta a situações de emergência.",accessibility; climate; community_development; digital_public_services; inclusion; volunteering,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-cl3-2026-01-fct-05,Enhancing the security of citizens against terrorism and lone-actor violence in confined spaces such as schools,Horizon Europe,2026-05-06,2026-11-05,"€9,670,000 total; até €4,835,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-cl3-2026-01-fct-05,"",Entidades públicas,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","O programa Horizonte Europa financia projetos destinados a reforçar a segurança dos cidadãos contra o terrorismo e a violência de atores solitários em espaços confinados, como escolas, com um orçamento total de 9,67 milhões de euros.",accessibility; civic_participation; environment; equality; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-participation-01,Addressing homelessness through housing-led approaches aligned with the New European Bauhaus,Horizon Europe,2026-05-05,2026-12-01,"€12,600,000 total; até €6,300,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-participation-01,"",Municípios ou autoridades locais,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","Este convite do programa Horizonte Europa, previsto para 2026, visa combater o fenómeno da sem-abrigo através de estratégias de habitação alinhadas com os princípios da Nova Bauhaus Europeia. O financiamento total é de 12,6 milhões de euros, com um limite de até 6,3 milhões de euros por projeto, sendo dirigido especificamente a municípios ou autoridades locais.",accessibility; civic_participation; climate; community_development; digital_public_services; environment; equality; inclusion; mobility; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-regen-02,Advancing sustainable maintenance and repair measures for existing buildings,Horizon Europe,2026-05-05,2026-12-01,"€10,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-regen-02,"",Municípios ou autoridades locais,"","","O programa Horizonte Europa financia projetos destinados a promover medidas de manutenção e reparação sustentáveis em edifícios já existentes. A iniciativa disponibiliza um montante total de 10 milhões de euros, permitindo um financiamento de até 5 milhões de euros por projeto. As candidaturas estão abertas entre 5 de maio de 2026 e 1 de dezembro de 2026.",accessibility; climate; community_development; environment; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-business-03,"Approaches to reuse vacant, obsolete or underutilised spaces",Horizon Europe,2026-05-05,2026-12-01,"€9,000,000 total; até €4,500,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-business-03,"",Municípios ou autoridades locais; Entidades públicas,"","","Este convite do programa Horizonte Europa foca-se no desenvolvimento de abordagens para a reutilização de espaços vazios, obsoletos ou subutilizados. Com um orçamento total de 9 milhões de euros, o financiamento apoia projetos que promovam a revitalização urbana eficiente, disponibilizando até 4,5 milhões de euros por proposta para municípios, autoridades locais e outras entidades públicas.",accessibility; climate; community_development; environment; inclusion; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
eu-ft-horizon-neb-2026-01-participation-02,Innovative approaches for the spatial design of neighbourhoods,Horizon Europe,2026-05-05,2026-12-01,"€10,000,000 total; até €5,000,000/projeto",EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-neb-2026-01-participation-02,"",Municípios ou autoridades locais,O texto da oportunidade indica requisitos de consórcio ou parceria; confirmar no aviso oficial.,"","O programa Horizonte Europa financia abordagens inovadoras para a conceção espacial de bairros. A iniciativa, com um orçamento total de 10 milhões de euros, destina-se a apoiar projetos com um valor máximo de 5 milhões de euros por proposta. As candidaturas estão abertas a municípios e autoridades locais, visando o desenvolvimento de espaços urbanos mais sustentáveis e integrados.",accessibility; civic_participation; climate; community_development; environment; equality; inclusion; mobility; public_space,100,Altamente relevante,"Esta oportunidade é relevante porque aceita autarquias ou entidades públicas como candidatas, incide em temas relevantes para políticas locais.",Prazo com margem
